,HMI_214_DL,振动风选_1#振动X,振动风选_1#振动Y,振动风选_1#振动Z,振动风选_2#振动X,振动风选_2#振动Y,振动风选_2#振动Z,振动风选_3#振动X,振动风选_3#振动Y,振动风选_3#振动Z,振动风选_4#振动X,振动风选_4#振动Y,振动风选_4#振动Z,振动风选_5#振动X,振动风选_5#振动Y,振动风选_5#振动Z
99,14.27,-4.9279,-5.1612,-5.2697,-4.436,-5.3583,-5.7038,-8.0565,-9.1977,-9.7113,-4.6096,-4.1268,-3.568,-4.0581,32.0584,-4.5391
100,14.27,-4.7579,,,,,,,,,,,,,,
101,14.27,-4.8737,,,,,,,,,,,,,,
102,14.27,-4.8104,-5.2354,-5.2661,-4.4541,-5.3547,-5.6893,-7.8088,-9.1814,-8.7383,-5.7381,-4.2371,-4.3293,-3.1376,45.3848,-4.9623
103,14.34,-4.7127,-5.0346,-5.1305,-4.3999,-5.239,-5.4922,-7.5538,-8.8993,-7.8377,-5.9931,-4.2045,-4.304,-2.5263,22.0396,-4.2136
104,14.34,-4.8429,-5.0672,-5.2516,-4.4234,-5.3493,-5.7056,-8.3007,-9.0874,-11.4673,-3.105,-4.0454,-2.8157,-8.2591,50.0,-6.6677
105,14.34,-4.8068,-5.1865,-5.3113,-4.4794,-5.3891,-5.72,-8.232,-9.1796,-10.8325,-3.5499,-4.0888,-3.2768,-5.4343,48.3778,-4.9315
106,14.34,-4.9333,,,,,,,,,,,,,,
107,14.34,-4.8285,-5.1504,-5.163,-4.3474,-5.1938,-5.494,-7.3965,-8.7926,-7.9336,-6.0184,-4.3456,-4.5192,-2.2351,44.7085,-4.7019
108,14.34,-4.852,-5.1721,-5.2842,-4.4451,-5.3475,-5.6875,-8.0113,-9.1253,-9.6787,-4.6729,-4.1376,-3.7579,-5.3059,40.314,-5.8285
109,14.34,-4.8827,-5.0292,-5.2191,-4.4613,-5.3656,-5.7092,-8.2826,-9.1922,-11.0025,-3.4305,-4.0544,-3.0688,-4.9587,48.7341,-4.0128
110,14.34,-4.8737,-5.1449,-5.3041,-4.4342,-5.3493,-5.6712,-8.2392,-9.0892,-10.8615,-3.6295,-4.0906,-2.982,-6.1993,50.0,-5.6658
